fecha,plasma_temperature,proton_density,plasma_speed
2024-05-12 03:00:00,24903.0,6.6,935.0
2024-05-12 04:00:00,27470.0,9.0,926.0
2024-05-12 05:00:00,21688.0,3.1,909.0
2024-05-12 06:00:00,13036.0,2.2,886.0
2024-05-12 07:00:00,16024.0,1.5,876.0
2024-05-12 08:00:00,152116.0,1.3,853.0
2024-05-12 09:00:00,65402.0,1.7,855.0
2024-05-12 10:00:00,121802.0,3.1,878.0
2024-05-12 11:00:00,404251.0,1.4,875.0
2024-05-12 12:00:00,628208.0,1.0,874.0
2024-05-12 13:00:00,556381.0,0.9,859.0
2024-05-12 14:00:00,530791.0,1.0,862.0
2024-05-12 15:00:00,678631.0,0.9,852.0
2024-05-12 16:00:00,994196.0,1.1,840.0
2024-05-12 17:00:00,1235003.0,1.4,854.0
2024-05-12 18:00:00,1103747.0,1.8,900.0
2024-05-12 19:00:00,728125.0,2.0,872.0
2024-05-12 20:00:00,540616.0,2.3,863.0
2024-05-12 21:00:00,163092.0,3.1,834.0
2024-05-12 22:00:00,162215.0,4.5,834.0
2024-05-12 23:00:00,108901.0,6.9,829.0
